"email_id","email_text","email_version","hour","weekday","user_country","user_past_purchases"
85120,"short_email","personalized",2,"Sunday","US",5
966622,"long_email","personalized",12,"Sunday","UK",2
777221,"long_email","personalized",11,"Wednesday","US",2
493711,"short_email","generic",6,"Monday","UK",1
106887,"long_email","generic",14,"Monday","US",6
684440,"long_email","personalized",6,"Sunday","UK",3
139620,"short_email","personalized",9,"Saturday","US",8
694933,"long_email","generic",8,"Saturday","US",2
485760,"long_email","personalized",5,"Monday","US",4
592665,"short_email","personalized",23,"Wednesday","US",3
9157,"long_email","generic",7,"Friday","UK",4
34148,"long_email","personalized",10,"Tuesday","US",4
539337,"short_email","generic",8,"Monday","US",9
635573,"short_email","personalized",3,"Thursday","US",8
399688,"long_email","personalized",8,"Tuesday","US",1
184475,"short_email","personalized",10,"Tuesday","US",0
927342,"short_email","generic",8,"Tuesday","US",11
946872,"long_email","personalized",5,"Saturday","US",3
139761,"long_email","personalized",4,"Sunday","US",1
746019,"short_email","personalized",11,"Thursday","FR",0
255145,"short_email","generic",8,"Tuesday","US",3
95928,"long_email","personalized",9,"Wednesday","US",1
100879,"short_email","personalized",1,"Saturday","US",8
317406,"short_email","generic",8,"Sunday","ES",0
27516,"short_email","generic",6,"Friday","US",0
806748,"long_email","personalized",14,"Tuesday","US",4
438607,"long_email","personalized",7,"Sunday","US",10
117471,"long_email","personalized",5,"Saturday","US",1
284630,"short_email","generic",13,"Sunday","US",2
327916,"long_email","personalized",1,"Sunday","FR",1
153270,"long_email","personalized",12,"Saturday","US",9
219847,"long_email","generic",2,"Sunday","FR",2
775805,"short_email","personalized",3,"Friday","US",4
681467,"short_email","generic",3,"Monday","UK",6
916742,"short_email","generic",3,"Tuesday","US",0
270771,"long_email","generic",3,"Tuesday","US",10
619826,"short_email","generic",5,"Saturday","US",7
375293,"short_email","generic",6,"Thursday","UK",13
753655,"short_email","personalized",11,"Monday","UK",6
214289,"long_email","generic",3,"Monday","US",1
205577,"short_email","generic",3,"Monday","US",2
165270,"short_email","personalized",9,"Saturday","US",10
319978,"long_email","personalized",3,"Sunday","US",2
364825,"short_email","personalized",6,"Friday","UK",3
778275,"long_email","generic",8,"Wednesday","US",0
225112,"long_email","generic",7,"Friday","US",4
186967,"short_email","personalized",13,"Thursday","FR",2
711417,"short_email","generic",5,"Saturday","UK",3
171285,"long_email","generic",5,"Saturday","US",2
47795,"short_email","personalized",15,"Saturday","US",3
532267,"long_email","personalized",17,"Saturday","US",3
173215,"short_email","personalized",11,"Monday","US",5
216547,"long_email","generic",11,"Saturday","US",7
920674,"short_email","personalized",5,"Saturday","US",9
644508,"long_email","generic",12,"Tuesday","US",7
587637,"short_email","personalized",13,"Saturday","ES",4
440760,"short_email","personalized",16,"Wednesday","US",6
667595,"long_email","generic",8,"Sunday","UK",3
134685,"long_email","personalized",9,"Sunday","US",6
436005,"long_email","generic",5,"Monday","US",6
467674,"long_email","generic",13,"Saturday","US",1
533061,"long_email","personalized",5,"Tuesday","FR",4
423904,"long_email","generic",5,"Tuesday","US",4
823261,"short_email","personalized",10,"Monday","US",9
143070,"short_email","personalized",6,"Sunday","US",8
148211,"long_email","personalized",6,"Tuesday","US",4
961413,"short_email","personalized",5,"Thursday","US",10
505343,"short_email","personalized",15,"Friday","FR",2
621632,"long_email","generic",9,"Wednesday","US",8
138699,"short_email","generic",11,"Tuesday","FR",12
849,"short_email","generic",16,"Tuesday","US",5
579832,"long_email","generic",6,"Thursday","ES",0
95563,"long_email","generic",7,"Sunday","UK",4
35004,"short_email","personalized",8,"Tuesday","US",6
340510,"short_email","personalized",1,"Thursday","UK",2
753245,"short_email","generic",10,"Friday","US",0
997755,"long_email","personalized",14,"Sunday","UK",6
150629,"short_email","personalized",3,"Tuesday","UK",8
683204,"short_email","generic",9,"Tuesday","US",2
823834,"long_email","generic",10,"Friday","US",1
811547,"short_email","personalized",4,"Saturday","ES",6
749412,"long_email","generic",8,"Wednesday","ES",4
587409,"short_email","personalized",15,"Thursday","US",7
623658,"long_email","generic",13,"Saturday","US",2
131239,"long_email","generic",15,"Wednesday","US",2
726976,"long_email","generic",10,"Saturday","UK",4
216264,"short_email","generic",11,"Wednesday","US",2
621362,"long_email","generic",3,"Thursday","ES",4
752024,"long_email","personalized",4,"Tuesday","US",10
733938,"long_email","personalized",14,"Monday","US",2
495465,"short_email","personalized",9,"Monday","US",5
953633,"short_email","personalized",10,"Thursday","FR",1
336766,"short_email","generic",9,"Monday","US",2
453616,"short_email","personalized",11,"Sunday","US",0
216377,"short_email","generic",4,"Saturday","US",4
972830,"long_email","generic",6,"Friday","US",3
785407,"short_email","generic",12,"Thursday","UK",2
427037,"short_email","personalized",5,"Wednesday","UK",0
863003,"short_email","generic",7,"Thursday","US",1
119239,"short_email","generic",14,"Tuesday","US",4
143326,"short_email","generic",3,"Tuesday","UK",0
177888,"short_email","personalized",10,"Saturday","US",4
351459,"long_email","personalized",9,"Sunday","US",10
523066,"long_email","personalized",5,"Sunday","US",6
491490,"long_email","personalized",8,"Thursday","US",2
579821,"long_email","generic",12,"Saturday","US",1
874917,"long_email","personalized",12,"Wednesday","FR",3
67360,"long_email","personalized",12,"Wednesday","US",5
18015,"short_email","personalized",2,"Sunday","UK",7
786,"long_email","personalized",7,"Wednesday","ES",0
132516,"long_email","generic",12,"Monday","US",3
906934,"short_email","personalized",8,"Monday","US",8
94491,"long_email","personalized",14,"Monday","US",4
51167,"long_email","generic",1,"Tuesday","US",4
277212,"long_email","generic",9,"Monday","US",2
721625,"short_email","personalized",6,"Thursday","US",7
499011,"long_email","personalized",3,"Sunday","US",0
11255,"long_email","generic",6,"Sunday","US",2
262903,"short_email","generic",16,"Wednesday","UK",4
777186,"long_email","personalized",8,"Friday","FR",5
804439,"short_email","generic",6,"Sunday","UK",3
107761,"long_email","generic",9,"Sunday","UK",0
128718,"short_email","generic",11,"Sunday","UK",5
824998,"long_email","personalized",9,"Thursday","UK",5
354480,"long_email","personalized",17,"Tuesday","FR",3
511154,"long_email","personalized",13,"Wednesday","US",6
256172,"short_email","generic",7,"Tuesday","FR",5
400981,"long_email","generic",15,"Monday","ES",1
771583,"long_email","generic",20,"Friday","US",8
233220,"short_email","personalized",13,"Thursday","ES",6
705101,"long_email","generic",9,"Monday","US",2
872158,"long_email","generic",2,"Tuesday","US",7
511103,"short_email","personalized",9,"Monday","US",6
280898,"long_email","generic",7,"Thursday","UK",5
313724,"short_email","personalized",8,"Tuesday","ES",3
496310,"long_email","personalized",5,"Monday","US",3
510779,"long_email","generic",8,"Monday","UK",5
746662,"long_email","personalized",5,"Sunday","FR",9
344139,"short_email","generic",7,"Saturday","US",10
225624,"short_email","personalized",6,"Tuesday","US",4
655272,"long_email","personalized",14,"Sunday","US",11
262154,"long_email","personalized",6,"Monday","US",2
271228,"short_email","generic",10,"Friday","US",6
88414,"short_email","personalized",4,"Thursday","UK",1
664728,"short_email","generic",11,"Saturday","FR",7
477022,"long_email","generic",7,"Thursday","UK",4
901713,"long_email","personalized",12,"Friday","US",7
838252,"short_email","personalized",13,"Monday","US",3
133487,"short_email","personalized",15,"Monday","US",0
62770,"short_email","personalized",4,"Tuesday","FR",2
832014,"short_email","generic",7,"Sunday","ES",3
123502,"long_email","personalized",11,"Monday","US",9
240707,"long_email","generic",9,"Sunday","US",11
231279,"short_email","personalized",9,"Thursday","US",7
850323,"long_email","personalized",6,"Sunday","ES",1
675134,"long_email","personalized",2,"Sunday","ES",7
135729,"long_email","personalized",12,"Monday","US",1
264933,"short_email","personalized",2,"Wednesday","US",2
999304,"short_email","personalized",8,"Tuesday","UK",4
788738,"long_email","personalized",13,"Wednesday","ES",1
89171,"long_email","generic",11,"Tuesday","FR",2
55972,"long_email","personalized",12,"Sunday","FR",10
691917,"long_email","generic",12,"Saturday","US",3
228798,"long_email","personalized",17,"Friday","FR",2
266847,"long_email","generic",12,"Monday","US",6
48948,"short_email","generic",11,"Thursday","ES",13
494871,"long_email","generic",6,"Thursday","US",1
380148,"long_email","personalized",10,"Sunday","UK",5
37963,"long_email","generic",4,"Thursday","US",0
197383,"short_email","personalized",14,"Monday","US",5
321212,"long_email","personalized",9,"Tuesday","UK",1
686116,"short_email","personalized",1,"Sunday","US",12
72477,"short_email","generic",8,"Sunday","US",3
445121,"short_email","generic",9,"Monday","US",1
911434,"short_email","generic",8,"Friday","US",2
171098,"long_email","generic",8,"Thursday","US",0
559384,"long_email","generic",12,"Monday","US",6
174001,"short_email","personalized",17,"Tuesday","US",4
44738,"short_email","generic",8,"Thursday","UK",6
581194,"short_email","personalized",3,"Friday","UK",5
241192,"short_email","generic",1,"Friday","US",7
393419,"long_email","personalized",9,"Sunday","US",6
147546,"short_email","generic",9,"Wednesday","US",7
568838,"short_email","personalized",12,"Sunday","US",1
291313,"long_email","personalized",7,"Wednesday","UK",7
270511,"short_email","generic",4,"Friday","US",4
226909,"long_email","personalized",12,"Monday","US",3
579499,"short_email","generic",12,"Friday","UK",0
458558,"long_email","generic",7,"Friday","US",3
418203,"long_email","generic",10,"Saturday","US",2
378235,"long_email","personalized",9,"Monday","US",4
479106,"short_email","personalized",6,"Tuesday","US",3
977255,"short_email","generic",7,"Friday","US",1
527516,"short_email","personalized",17,"Wednesday","UK",3
150963,"long_email","personalized",4,"Sunday","US",0
472054,"short_email","personalized",10,"Monday","US",0
753874,"short_email","generic",18,"Wednesday","UK",11
210762,"long_email","generic",5,"Monday","US",1
895926,"short_email","personalized",8,"Tuesday","FR",10
639078,"long_email","personalized",4,"Thursday","US",0
768302,"short_email","personalized",5,"Sunday","US",6
563755,"long_email","personalized",3,"Thursday","UK",4
182415,"short_email","generic",8,"Sunday","US",1
139176,"short_email","personalized",5,"Wednesday","US",3
602580,"short_email","generic",12,"Thursday","US",2
924418,"short_email","personalized",8,"Saturday","US",1
93693,"short_email","personalized",6,"Thursday","FR",6
536532,"long_email","generic",1,"Friday","UK",2
650689,"long_email","personalized",7,"Monday","US",9
653666,"short_email","generic",13,"Tuesday","UK",0
617218,"short_email","personalized",13,"Monday","FR",7
439882,"long_email","personalized",15,"Sunday","US",6
421853,"short_email","generic",10,"Monday","UK",7
600508,"short_email","generic",8,"Sunday","US",3
174919,"short_email","personalized",14,"Wednesday","US",7
916591,"long_email","generic",6,"Wednesday","US",5
180611,"long_email","generic",6,"Monday","US",0
300963,"short_email","personalized",19,"Sunday","US",1
269474,"short_email","personalized",11,"Wednesday","ES",2
170071,"long_email","generic",5,"Wednesday","US",7
232772,"short_email","generic",7,"Saturday","UK",1
916162,"short_email","personalized",12,"Sunday","US",2
690760,"short_email","personalized",6,"Monday","US",2
393559,"long_email","generic",14,"Monday","ES",8
242446,"short_email","generic",3,"Friday","US",4
148011,"long_email","personalized",6,"Thursday","ES",8
548910,"short_email","personalized",7,"Saturday","US",2
349241,"short_email","generic",15,"Sunday","US",1
774069,"long_email","personalized",6,"Wednesday","UK",1
552487,"long_email","personalized",8,"Saturday","UK",3
896325,"short_email","generic",6,"Friday","US",1
265204,"long_email","generic",13,"Monday","US",2
228986,"long_email","generic",14,"Sunday","UK",6
962794,"long_email","personalized",11,"Thursday","ES",9
571542,"long_email","personalized",5,"Sunday","US",0
275630,"long_email","generic",10,"Thursday","US",2
217427,"short_email","personalized",8,"Friday","US",13
824218,"short_email","personalized",12,"Monday","US",7
541537,"short_email","generic",7,"Sunday","US",11
305212,"long_email","personalized",4,"Thursday","US",3
63413,"short_email","generic",10,"Tuesday","UK",7
909877,"long_email","personalized",9,"Tuesday","US",0
349669,"short_email","personalized",6,"Tuesday","UK",6
21687,"long_email","generic",12,"Tuesday","FR",0
157978,"short_email","generic",3,"Thursday","US",8
353349,"short_email","generic",12,"Monday","US",0
432931,"long_email","generic",2,"Saturday","UK",1
183355,"long_email","generic",10,"Friday","US",5
388819,"long_email","generic",12,"Friday","ES",1
844328,"short_email","personalized",9,"Wednesday","US",7
913111,"short_email","personalized",11,"Tuesday","UK",1
375499,"short_email","generic",4,"Wednesday","FR",7
316326,"long_email","generic",8,"Wednesday","US",1
195075,"short_email","generic",3,"Tuesday","US",5
48568,"short_email","personalized",3,"Wednesday","UK",5
433256,"long_email","personalized",16,"Friday","ES",3
133726,"long_email","generic",3,"Thursday","US",4
975440,"long_email","generic",4,"Monday","US",6
186485,"long_email","personalized",6,"Monday","FR",1
318214,"long_email","personalized",15,"Sunday","UK",6
769362,"long_email","generic",4,"Wednesday","US",6
811076,"long_email","personalized",15,"Wednesday","ES",2
895611,"short_email","personalized",5,"Thursday","US",2
754090,"short_email","personalized",6,"Thursday","US",2
890047,"short_email","personalized",16,"Friday","ES",4
338886,"short_email","generic",10,"Friday","US",1
906953,"long_email","generic",1,"Tuesday","UK",5
285893,"short_email","generic",6,"Sunday","UK",9
738568,"long_email","personalized",6,"Friday","US",8
874875,"long_email","generic",13,"Thursday","US",0
409915,"short_email","generic",13,"Wednesday","US",5
157617,"long_email","personalized",8,"Friday","ES",2
624051,"short_email","personalized",5,"Saturday","US",3
138218,"short_email","generic",4,"Friday","UK",5
455176,"short_email","personalized",7,"Thursday","US",8
867485,"short_email","generic",7,"Saturday","US",6
66644,"long_email","generic",9,"Thursday","US",4
809,"short_email","personalized",13,"Thursday","US",0
487019,"long_email","personalized",6,"Friday","UK",8
532247,"long_email","generic",7,"Friday","US",0
113584,"short_email","generic",4,"Wednesday","ES",5
144934,"long_email","personalized",4,"Tuesday","US",0
298818,"short_email","personalized",1,"Tuesday","US",6
132488,"long_email","generic",17,"Thursday","US",9
864536,"short_email","personalized",16,"Saturday","US",5
850783,"long_email","personalized",2,"Wednesday","US",2
919824,"short_email","generic",3,"Tuesday","US",8
101609,"short_email","generic",13,"Tuesday","US",7
674608,"long_email","personalized",4,"Sunday","FR",2
3088,"short_email","generic",13,"Wednesday","US",10
122842,"long_email","personalized",1,"Tuesday","US",7
497991,"long_email","generic",4,"Thursday","FR",8
147520,"long_email","generic",15,"Sunday","US",10
158001,"short_email","generic",18,"Friday","FR",0
21037,"long_email","generic",5,"Saturday","US",4
76980,"short_email","personalized",12,"Monday","UK",2
382985,"short_email","generic",6,"Monday","ES",4
637228,"short_email","personalized",9,"Saturday","US",1
61264,"short_email","generic",15,"Wednesday","UK",5
93750,"short_email","generic",11,"Thursday","UK",5
398928,"long_email","generic",9,"Saturday","US",6
812215,"short_email","generic",18,"Saturday","UK",3
783839,"long_email","generic",18,"Friday","US",5
491891,"long_email","personalized",6,"Wednesday","UK",6
964995,"long_email","generic",17,"Tuesday","US",0
621042,"long_email","generic",4,"Monday","US",8
459733,"short_email","generic",7,"Monday","US",7
245894,"long_email","generic",8,"Sunday","US",2
551578,"long_email","generic",12,"Monday","US",0
350077,"long_email","personalized",8,"Sunday","US",6
150465,"short_email","generic",7,"Saturday","US",1
859073,"short_email","generic",10,"Thursday","US",13
784367,"short_email","generic",6,"Thursday","US",5
648730,"short_email","generic",10,"Wednesday","US",4
604606,"long_email","personalized",14,"Wednesday","FR",7
666833,"long_email","personalized",9,"Tuesday","US",8
365681,"short_email","generic",7,"Wednesday","US",5
944736,"long_email","personalized",5,"Monday","US",1
244416,"long_email","generic",1,"Monday","US",4
855001,"long_email","generic",7,"Sunday","FR",3
728668,"short_email","personalized",7,"Saturday","UK",3
564299,"short_email","personalized",4,"Sunday","US",18
53705,"long_email","generic",9,"Wednesday","ES",1
555978,"long_email","personalized",8,"Wednesday","FR",2
958614,"long_email","personalized",11,"Monday","US",3
918907,"long_email","personalized",16,"Saturday","FR",2
504402,"short_email","personalized",7,"Wednesday","UK",10
538396,"long_email","personalized",9,"Saturday","UK",1
498217,"long_email","personalized",6,"Thursday","UK",11
508340,"long_email","personalized",7,"Thursday","US",1
475149,"long_email","personalized",9,"Friday","US",8
328675,"short_email","generic",8,"Saturday","US",6
829343,"short_email","personalized",7,"Monday","UK",4
455630,"short_email","generic",8,"Sunday","US",1
260663,"short_email","personalized",17,"Sunday","ES",0
233042,"long_email","personalized",2,"Wednesday","US",7
